"","long","lat","order","hole","piece","id","group","province","institution","participants","teacher_facilitator","classes","classroom","kindergarten","playgroup","daycare","sps","all_2017_2018","all_2018_2019","all_2019_2020","all_2020_2021","stud_tk","stud_kb","stud_tpa","stud_sps","stud_2017_2018","stud_2018_2019","stud_2019_2020","stud_2020_2021","teacher_tk","teacher_kb","teacher_tpa","teacher_sps","teacher_2017_2018","teacher_2018_2019","teacher_2019_2020","teacher_2020_2021","tk_classsize","tk_stu_teacher","kb_classsize","tpa_classsize","sps_classsize","kb_stu_teach","tpa_stu_teach","sps_stu_teach"
"19",97.6611053,2.40192830000007,19,FALSE,"1","0","0.1","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"20",97.5922488,2.87889950000005,20,FALSE,"1","0","0.1","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"21",97.3696766,2.98860760000002,21,FALSE,"1","0","0.1","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"22",97.257573,3.22063490000005,22,FALSE,"1","0","0.1","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"23",97.1674401000001,3.26020620000003,23,FALSE,"1","0","0.1","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"24",96.8656488,3.69310400000006,24,FALSE,"1","0","0.1","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"25",96.4966667,3.74949730000003,25,FALSE,"1","0","0.1","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"26",96.1920282,4.10728000000006,26,FALSE,"1","0","0.1","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"27",95.5396650000001,4.65604750000006,27,FALSE,"1","0","0.1","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"28",95.2118327000001,5.27499350000005,28,FALSE,"1","0","0.1","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
